box_12a_code	box_12b_code	box_12c_code	box_12d_code	box_15_1_state	box_15_2_state	box_1_wages	box_3_social_security_wages	box_4_social_security_tax_withheld	box_5_medicare_wages	box_6_medicare_wages_tax_withheld	box_7_social_security_tips	box_8_allocated_tips	box_10_dependent_care_benefits	box_11_nonqualified_plans	box_12a_value	box_12b_value	box_12c_value	box_12d_value	box_13_statutary_employee	box_13_retirement_plan	box_13_third_part_sick_pay	box_16_1_state_wages	box_17_1_state_income_tax	box_18_1_local_wages	box_19_1_local_income_tax	box_16_2_state_wages	box_17_2_state_income_tax	box_18_2_local_wages	box_19_2_local_income_tax	box_2_federal_tax_withheld	anomaly_consensus	cluster	box_15_1_state
D	P	E	D	KS	NV	135437.66	110217.03	8431.6	168171.15	4876.96	110217.03	168171.15	172	175	5597	363	301	862	0	0	0	66721.03	6713.88	125046.27	20171.08	61094.29	6284.77	121115.12	16154.35	34494.05	False	4	KS
G	None	None	H	SC	ND	140514.08	123377.84	9438.4	180363.38	5230.54	123377.84	180363.38	117	207	3353	107	730	901	0	0	0	65381.25	7774.36	112057.18	27914.72	63665.63	6123.16	105669.75	17232.88	36630.84	False	0	SC
H	P	P	None	WA	NC	152652.02	136633.34	10452.45	180258.52	5227.5	136633.34	180258.52	100	189	7143	430	885	388	1	0	0	81983.98	4234.22	142046.84	16447.31	71732.67	3870.95	121878.23	23297.06	45540.24	False	4	WA
None	H	D	None	VT	NH	48215.98	53256.24	4074.1	34834.94	1010.21	53256.24	34834.94	247	154	4453	234	366	462	0	0	1	25107.36	1646.72	48411.36	6003.28	22136.87	1951.55	46609.02	7994.38	13843.79	False	1	VT
P	P	P	H	MD	OR	167345.19	139416.74	10665.38	191489.13	5553.18	139416.74	191489.13	187	156	7497	642	120	558	0	0	0	84033.85	8279.28	127664.02	29289.7	87648.52	6691.68	121637.26	32854.93	18785.85	False	4	MD
None	P	G	G	LA	ME	177936.09	195592.5	14962.83	149225.13	4327.53	195592.5	149225.13	177	272	3664	242	323	147	0	1	1	87972.9	4714.98	163738.6	32863.86	85396.7	5387.26	187818.74	17969.29	56129.14	False	4	LA
None	None	D	P	MD	AL	60679.94	43154.58	3301.33	47687.12	1382.93	43154.58	47687.12	201	223	5156	343	984	711	0	1	0	30400.66	3305.63	45904.59	7029.64	31268.45	3589.21	55771.29	11907.52	21178.59	False	1	MD
None	E	E	None	OH	NV	113669.65	135404.18	10358.42	137601.59	3990.45	135404.18	137601.59	154	260	2325	981	579	421	0	1	0	56790.52	4545.75	90326.56	20315.41	54107.28	3462.56	136908.4	15822.55	20820.82	False	4	OH
P	P	G	None	MS	NM	100541.63	114524.91	8761.16	113094.72	3279.75	114524.91	113094.72	213	273	7188	847	142	907	0	0	0	45858.85	4569.65	118390.96	17816.88	54267.51	2972.42	130214.98	14499.38	20703.06	False	4	MS
H	None	None	H	VA	TX	244246.71	286169.93	21892.0	186535.21	5409.52	286169.93	186535.21	183	243	7958	687	448	986	0	0	0	109922.33	9285.19	235613.98	31078.32	129648.8	6902.37	305669.35	28366.02	86974.8	True	3	VA
None	None	None	E	NV	NM	56439.51	49258.41	3768.27	71438.92	2071.73	49258.41	71438.92	224	176	5056	316	382	237	0	0	0	29589.66	1653.12	64441.38	10566.43	28131.74	1483.05	58453.79	5821.4	13982.42	False	1	NV
None	D	None	None	IL	AK	110556.54	143393.94	10969.64	110842.4	3214.43	143393.94	110842.4	114	127	7638	451	563	664	0	0	0	55871.68	2629.72	125702.12	15963.56	56072.88	3517.81	94500.03	16794.35	11568.72	False	4	IL
D	E	None	E	FL	OH	199607.49	216833.65	16587.77	200056.07	5801.63	216833.65	200056.07	284	197	9307	207	458	894	0	0	0	95241.42	10392.39	202210.34	32550.27	104490.52	10681.29	229170.44	31394.82	26648.79	False	3	FL
D	None	None	E	HI	GA	142183.79	145587.01	11137.41	149485.54	4335.08	145587.01	149485.54	206	283	8843	347	517	506	1	0	1	75725.71	6745.64	105105.75	14328.8	73008.65	6853.14	142924.99	16670.24	38664.62	False	4	HI
None	None	P	None	AL	IA	168250.2	159372.62	12192.01	206499.26	5988.48	159372.62	206499.26	164	149	6335	663	136	986	0	0	0	76475.69	4802.83	124601.64	29884.95	89324.57	4795.84	137013.88	24146.13	53860.77	False	4	AL
D	H	None	None	WV	NJ	204985.28	178238.43	13635.24	160106.85	4643.1	178238.43	160106.85	134	204	7925	709	455	785	0	0	0	104142.49	8072.73	164777.34	23205.65	110432.49	7608.36	160862.05	37344.52	67754.65	False	5	WV
None	D	D	P	TX	NE	238161.43	202782.72	15512.88	224070.14	6498.03	202782.72	224070.14	178	127	8513	680	520	868	0	1	0	123623.08	5077.91	241223.15	29269.09	108136.38	4301.01	231734.31	33593.58	57531.42	False	5	TX
None	G	D	H	WY	OK	94708.16	66710.56	5103.36	89579.71	2597.81	66710.56	89579.71	135	207	5713	350	433	212	1	0	0	51137.13	3016.2	91824.03	11221.02	46655.45	3966.33	68703.57	12976.21	15293.85	False	1	WY
E	G	None	P	NJ	LA	181762.0	168624.93	12899.81	209652.97	6079.94	168624.93	209652.97	166	211	4044	437	699	173	0	1	1	82221.37	3435.34	217914.18	26667.02	90487.4	4869.89	157491.9	32183.35	37072.28	False	5	NJ
None	None	None	H	SC	VT	124462.51	120173.72	9193.29	131703.56	3819.4	120173.72	131703.56	208	268	9250	140	232	437	0	0	0	62646.41	4379.82	161412.88	23574.42	65279.37	4387.3	152325.58	17510.3	17264.01	False	0	SC
None	None	E	None	VT	AZ	213073.98	258334.6	19762.6	165246.26	4792.14	258334.6	165246.26	199	103	3623	640	242	221	0	0	1	98983.11	9344.71	222772.96	32529.44	100733.71	11161.87	229340.04	29213.04	51168.85	False	3	VT
None	None	E	H	OH	GA	126178.38	90884.07	6952.63	121482.98	3523.01	90884.07	121482.98	161	135	5158	834	879	862	0	0	0	68609.8	4100.75	114121.3	24636.22	65930.31	4645.43	127314.49	12624.52	21613.45	False	4	OH
P	H	None	E	CT	MD	178730.69	201441.3	15410.26	158367.77	4592.67	201441.3	158367.77	248	267	6650	189	324	372	0	0	0	81913.95	4902.69	212533.52	27534.89	86584.6	4260.41	130065.2	27513.04	51410.91	False	4	CT
E	H	E	H	VT	FL	231273.4	204608.21	15652.53	162595.98	4715.28	204608.21	162595.98	203	161	2176	660	729	658	0	1	0	124578.46	9496.48	194011.33	32433.18	105494.53	10960.52	191866.72	42290.94	80074.65	False	3	VT
D	None	P	None	OR	MS	42301.27	46268.4	3539.53	30862.86	895.02	46268.4	30862.86	140	228	9497	825	229	403	1	1	0	22719.6	774.9	45739.67	4563.55	22291.97	970.75	43424.31	5641.32	11437.65	False	1	OR
None	G	E	H	AZ	WI	183903.16	204680.13	15658.03	141051.96	4090.51	204680.13	141051.96	181	282	2516	431	676	582	0	1	0	90845.92	4725.68	169088.82	19141.48	97642.52	6110.1	135286.17	26641.25	59731.35	False	4	AZ
P	G	D	D	NE	CA	44497.85	49855.3	3813.93	56238.71	1630.92	49855.3	56238.71	121	248	6147	728	616	637	1	1	0	22928.71	2471.91	57681.11	7927.22	24042.5	1666.76	50377.63	5750.38	11499.09	False	1	NE
H	E	D	H	GA	SD	56932.78	71527.08	5471.82	40629.88	1178.27	71527.08	40629.88	193	282	5788	559	232	959	0	1	0	29261.23	2262.03	60891.9	7597.4	26561.12	2946.78	50646.46	10510.07	8569.13	False	2	GA
D	None	None	D	UT	HI	248088.68	220967.19	16903.99	174279.9	5054.12	220967.19	174279.9	274	136	8711	428	687	858	0	0	0	130531.96	11136.13	303849.34	27031.5	114756.4	10973.33	267890.85	42005.63	64814.26	False	3	UT
P	None	None	None	AK	TX	177373.89	193408.76	14795.77	187790.52	5445.93	193408.76	187790.52	134	159	3328	198	516	893	1	0	0	87325.29	6375.17	171257.29	30108.41	80197.12	6896.97	204454.94	23510.14	30696.33	False	5	AK
H	None	D	E	OR	AZ	194408.03	223149.86	17070.96	203842.92	5911.44	223149.86	203842.92	155	272	7250	558	225	455	0	0	0	102753.13	5222.02	229379.07	32616.62	104962.94	4211.0	147816.56	31422.29	62892.0	False	3	OR
D	G	H	E	TN	OR	246914.68	191624.35	14659.26	222627.73	6456.2	191624.35	222627.73	238	293	4644	280	564	777	0	0	0	113277.89	8852.79	199414.46	32208.11	128605.91	11743.52	253300.42	36459.56	75406.1	False	3	TN
None	E	G	None	RI	MA	68027.94	81920.3	6266.9	48904.46	1418.23	81920.3	48904.46	296	238	1260	541	825	187	1	1	0	32941.67	2306.53	70339.87	7571.56	37033.89	2259.43	68552.6	10314.42	11256.33	False	1	RI
G	None	None	None	WI	NJ	185803.61	203964.3	15603.27	158642.68	4600.64	203964.3	158642.68	188	292	8801	920	299	906	1	0	0	87321.09	3673.7	213833.05	32031.08	94718.3	4812.56	189373.89	24430.12	51500.68	False	4	WI
None	None	G	G	AL	ND	168557.74	141301.97	10809.6	177119.58	5136.47	141301.97	177119.58	224	166	5744	822	244	863	0	0	0	79262.94	6380.24	197117.98	27658.85	86120.71	5892.95	190494.76	33246.23	26928.04	False	4	AL
E	P	E	D	ND	SD	41538.02	41643.17	3185.7	41159.1	1193.61	41643.17	41159.1	105	161	4077	494	726	528	0	0	0	21282.59	744.69	51782.44	5896.84	22033.74	1113.91	37756.81	7057.6	14705.89	False	2	ND
None	G	None	G	KS	AR	112362.76	129200.45	9883.83	89324.26	2590.4	129200.45	89324.26	280	182	4597	451	742	572	0	1	0	57244.99	5104.0	85510.29	12605.13	59444.47	4592.83	80403.08	11550.04	32871.84	False	4	KS
None	None	E	None	NC	AK	60210.39	49398.06	3778.95	63947.26	1854.47	49398.06	63947.26	197	256	4408	878	779	625	1	0	0	32689.52	1686.95	73936.46	10518.67	29339.9	2288.05	71160.2	9565.87	19224.26	False	1	NC
None	None	None	D	CO	SD	135808.98	105937.33	8104.21	164893.09	4781.9	105937.33	164893.09	155	175	1221	636	692	857	0	1	1	72199.4	3644.79	116597.38	24750.52	66495.61	2553.87	151771.21	21933.28	18415.04	False	2	CO
G	None	None	P	TX	LA	53865.97	37729.83	2886.33	47742.83	1384.54	37729.83	47742.83	118	120	6072	702	899	292	0	0	1	24316.26	1308.51	69704.28	6992.4	27298.43	1137.17	49655.08	9864.35	7023.38	False	1	TX
None	None	G	E	PA	TX	182572.48	195808.05	14979.32	192071.24	5570.07	195808.05	192071.24	243	169	3935	566	205	138	1	1	0	95486.93	6192.67	212399.23	27283.15	82626.34	6705.53	215130.08	20113.58	47351.76	False	3	PA
P	None	None	P	AR	OR	50967.82	55554.5	4249.92	50516.98	1464.99	55554.5	50516.98	144	138	8126	197	204	544	1	0	1	27196.86	2023.4	59473.66	6274.41	26225.38	2299.13	60527.49	9734.96	18649.73	False	1	AR
H	D	None	None	TX	IA	107540.8	96861.85	7409.93	122254.71	3545.39	96861.85	122254.71	140	265	4434	473	556	101	1	1	1	58349.73	2197.27	138420.95	18642.89	56001.62	2743.63	88796.44	11659.67	15345.18	False	1	TX
None	H	G	E	NE	WA	187237.76	178250.41	13636.16	241813.33	7012.59	178250.41	241813.33	101	152	4051	751	843	751	0	0	0	99458.75	5410.54	224842.19	34366.89	88262.39	5296.9	236828.16	24466.9	62606.68	False	3	NE
E	None	None	H	DC	WY	228399.09	227263.87	17385.69	175524.45	5090.21	227263.87	175524.45	282	220	9293	336	568	887	0	1	1	121646.92	6802.46	291765.14	40361.69	118452.64	5913.4	263219.86	26331.27	78020.63	True	3	DC
P	None	G	E	NM	NC	171288.93	185840.67	14216.81	153131.0	4440.8	185840.67	153131.0	113	213	5340	228	458	424	1	1	1	81570.39	4641.02	207579.87	26906.16	86710.61	3371.0	134189.51	32910.4	29917.77	False	4	NM
None	H	None	D	VA	WV	98684.39	103669.28	7930.7	77215.97	2239.26	103669.28	77215.97	268	264	2808	837	178	563	0	0	0	50028.92	1710.76	114103.87	18506.44	53347.13	1605.15	111666.32	14989.68	23368.59	False	1	VA
E	None	None	D	HI	HI	121199.59	87929.42	6726.6	142893.0	4143.9	87929.42	142893.0	278	129	4579	677	213	711	0	0	0	62595.14	4706.11	155660.6	22897.87	56413.84	4920.33	118799.51	14697.85	39747.89	False	4	HI
G	G	None	None	NE	ND	190622.69	193764.16	14822.96	157879.73	4578.51	193764.16	157879.73	254	178	5658	178	839	170	0	0	1	94418.16	9466.69	142382.96	22202.26	94631.49	9790.88	223986.01	29398.26	31127.73	False	3	NE
None	D	None	None	HI	MS	173494.93	138781.83	10616.81	125457.73	3638.27	138781.83	125457.73	123	138	9518	762	714	245	1	1	1	87731.1	6372.98	187868.15	29795.96	80110.75	6742.13	150933.46	26742.87	25118.56	False	5	HI
E	G	D	None	WI	OR	79780.68	73766.72	5643.15	75955.15	2202.7	73766.72	75955.15	273	290	2054	661	894	506	1	0	0	40555.93	1951.56	68334.94	8001.05	37647.18	1521.82	80684.85	12415.19	11902.95	False	1	WI
E	E	None	None	MO	MN	206957.96	252362.15	19305.7	205205.6	5950.96	252362.15	205205.6	258	197	6138	913	783	556	0	0	1	111806.29	5833.03	177142.44	23021.3	103510.47	5605.94	265599.89	40850.52	27160.34	False	5	MO
None	P	None	D	MS	IA	154518.13	185206.79	14168.32	124034.46	3597.0	185206.79	124034.46	130	171	5684	946	556	841	1	0	0	78749.7	8458.72	111641.43	18136.52	73192.7	7436.33	163976.03	24857.42	21913.2	False	4	MS
None	None	None	D	KY	CO	248480.35	189283.0	14480.15	198719.1	5762.85	189283.0	198719.1	174	143	8136	921	199	158	1	1	0	127345.31	4082.81	308511.96	32602.12	126939.11	4571.6	185362.95	27618.25	88878.22	False	3	KY
P	D	H	H	PA	KY	42099.57	38661.39	2957.6	54509.12	1580.76	38661.39	54509.12	193	150	5274	928	241	697	1	1	0	21602.64	1579.94	52182.56	6014.86	22295.0	1638.33	34881.44	6495.74	8835.14	False	1	PA
None	P	H	None	WY	CA	126799.52	149045.06	11401.95	164804.1	4779.32	149045.06	164804.1	178	108	2955	262	958	123	0	0	0	65652.51	3135.4	101057.74	24254.67	65536.55	3283.71	163209.17	25038.37	23221.48	False	4	WY
E	H	H	None	AK	MA	132496.41	169026.02	12930.49	134616.15	3903.87	169026.02	134616.15	295	256	6806	962	512	462	0	1	0	62414.02	4647.1	102231.75	17581.77	63986.73	3507.05	131370.8	26075.04	15257.35	False	4	AK
D	None	P	E	WI	CT	163156.78	206317.47	15783.29	203760.68	5909.06	206317.47	203760.68	131	223	1302	320	348	534	0	0	0	74935.54	4527.95	120406.19	20816.97	88941.43	3436.21	187555.55	31013.51	53353.34	False	4	WI
E	E	None	E	NE	OK	71218.05	76599.02	5859.83	80566.06	2336.42	76599.02	80566.06	272	279	5954	266	414	658	1	0	0	34683.22	3793.49	76820.3	7618.2	34345.91	4028.58	55290.35	11394.04	10157.13	False	1	NE
G	E	None	None	MA	VA	169979.01	182345.96	13949.47	187614.77	5440.83	182345.96	187614.77	175	188	6725	983	798	149	0	0	0	85897.13	3625.44	180433.31	19346.24	92874.38	4086.05	125821.22	20486.28	33307.57	False	4	MA
D	None	G	None	MD	NE	248530.86	194678.78	14892.93	224705.04	6516.45	194678.78	224705.04	295	101	7125	296	583	145	1	1	0	114593.63	9799.81	318229.98	32401.39	113115.7	7086.1	284992.22	28277.73	39081.08	True	3	MD
E	G	None	None	SD	DE	113248.13	100016.09	7651.23	85313.32	2474.09	100016.09	85313.32	216	217	7329	341	959	412	0	0	0	56216.85	4243.28	99447.85	13301.97	54077.99	4282.16	102873.36	14559.26	36095.77	False	1	SD
E	E	None	E	NH	ME	204878.96	233820.69	17887.28	239160.48	6935.65	233820.69	239160.48	117	253	5623	744	625	224	0	0	0	93404.09	9604.26	258810.83	40373.1	105728.14	9136.0	189510.29	21207.7	70351.73	False	3	NH
E	None	H	None	SC	OK	200985.93	220229.69	16847.57	222655.3	6457.0	220229.69	222655.3	150	131	3267	728	420	370	1	1	0	98643.58	8183.96	180029.84	28705.41	98391.51	6252.24	169672.81	36109.97	40207.84	False	0	SC
G	D	None	D	MI	AZ	193813.78	227956.85	17438.7	213580.65	6193.84	227956.85	213580.65	195	155	2868	345	204	297	0	1	1	102020.77	5528.32	155065.58	36421.85	105505.6	6206.18	167412.55	33034.41	37353.23	False	3	MI
None	G	H	E	PA	NJ	59165.0	53035.64	4057.23	52597.83	1525.34	53035.64	52597.83	249	162	7650	825	689	614	1	0	0	30382.93	1943.22	43796.79	8993.16	27015.85	2161.79	44793.61	10853.37	18718.3	False	1	PA
G	P	None	None	CA	ID	172823.23	212522.25	16257.95	203573.77	5903.64	212522.25	203573.77	179	150	2034	747	689	685	0	0	0	90869.2	9028.08	208542.7	32820.38	87181.37	8176.69	145033.65	25601.07	39434.32	False	5	CA
E	None	D	G	TN	KS	76854.19	92996.29	7114.22	94644.5	2744.69	92996.29	94644.5	138	108	7993	582	802	392	0	0	1	39644.46	2058.17	88540.37	11728.71	40025.13	2098.43	54526.67	13226.57	20575.64	False	1	TN
None	G	G	G	IN	AR	55676.02	64222.61	4913.03	43608.99	1264.66	64222.61	43608.99	282	297	3276	709	854	870	0	0	0	26029.51	3410.86	42561.63	10663.45	25526.61	3010.75	41483.6	5583.53	14646.93	False	1	IN
E	G	E	P	KY	NV	43296.06	35466.59	2713.19	50434.7	1462.61	35466.59	50434.7	106	258	9235	260	111	319	0	1	1	20494.93	1615.61	44674.87	8413.33	20509.91	1545.42	43435.14	6315.66	4571.25	False	1	KY
